ClienteID,Ciudad,Estado,Pais,Tipo_Cliente
5325,GR03,8,1,ENTREGA DOMICILIO
5326,QR02,5,1,ENTREGA DOMICILIO
5327,SON08,15,1,EMBARQUE
5328,JA13,3,1,ENTREGA DOMICILIO
5329,ZAC10,32,1,EMBARQUE
5330,TAB03,25,1,ENTREGA DOMICILIO
5331,VER03,11,1,ENTREGA DOMICILIO
5332,VER08,11,1,ENTREGA DOMICILIO
5333,GTO18,12,1,ENTREGA DOMICILIO
5334,JA05,3,1,NO PROPORCIONADO
5335,MIC24,10,1,ENTREGA DOMICILIO
5336,TAM06,23,1,ENTREGA DOMICILIO
5337,NL03,4,1,ENTREGA DOMICILIO
5338,YU01,16,1,ENTREGA DOMICILIO
5339,CHP04,6,1,ENTREGA DOMICILIO
5340,OA08,7,1,ENTREGA DOMICILIO
5341,GTO12,12,1,ENTREGA DOMICILIO
5342,MIC01,10,1,ENTREGA DOMICILIO
5343,CHI09,29,1,ENTREGA DOMICILIO
5344,YU01,16,1,ENTREGA DOMICILIO
5345,OA04,7,1,ENTREGA DOMICILIO
5346,SON05,15,1,ENTREGA DOMICILIO
5347,SIN02,20,1,EMBARQUE
5348,CHI06,29,1,ENTREGA DOMICILIO
5349,CHI06,29,1,ENTREGA DOMICILIO
5350,CHI01,29,1,ENTREGA DOMICILIO
5351,GTO05,12,1,ENTREGA DOMICILIO
5352,GTO05,12,1,ENTREGA DOMICILIO
5353,MIC24,10,1,NO PROPORCIONADO
5354,HGO04,24,1,ENTREGA DOMICILIO
5355,TAM10,23,1,ENTREGA DOMICILIO
5356,TAM04,23,1,ENTREGA DOMICILIO
5357,GTO03,12,1,ENTREGA DOMICILIO
5358,GTO03,12,1,ENTREGA DOMICILIO
5359,TAB03,25,1,EMBARQUE
5360,SON06,15,1,ENTREGA DOMICILIO
5361,SON05,15,1,ENTREGA DOMICILIO
5362,TAM02,29,1,ENTREGA DOMICILIO
5363,CHI03,29,1,ENTREGA DOMICILIO
5364,GTO06,12,1,ENTREGA DOMICILIO
5365,EM10,2,1,ENTREGA DOMICILIO
5366,QR01,5,1,ENTREGA DOMICILIO
5367,SON07,15,1,EMBARQUE
5368,BCS01,21,1,EMBARQUE
5369,YU01,16,1,ENTREGA DOMICILIO
5370,AGS01,28,1,EMBARQUE
5371,HGO02,24,1,ENTREGA DOMICILIO
5372,AGS01,28,1,ENTREGA DOMICILIO
5373,QR01,5,1,ENTREGA DOMICILIO
5374,TAB03,25,1,ENTREGA DOMICILIO
5375,VER09,11,1,ENTREGA DOMICILIO
5376,CHP05,6,1,TIENDA
5377,EM02,2,1,ENTREGA DOMICILIO
5378,JA17,3,1,ENTREGA DOMICILIO
5379,GTO08,12,1,EMBARQUE
5380,VER02,11,1,ENTREGA DOMICILIO
5381,VER19,11,1,ENTREGA DOMICILIO
5382,TAB03,25,1,ENTREGA DOMICILIO
5383,YU01,16,1,ENTREGA DOMICILIO
5384,CAM01,17,1,ENTREGA DOMICILIO
5385,CHI06,29,1,ENTREGA DOMICILIO
5386,GR01,8,1,ENTREGA DOMICILIO
5387,QR02,5,1,ENTREGA DOMICILIO
5388,NAY01,26,1,ENTREGA DOMICILIO
5389,CHI07,29,1,ENTREGA DOMICILIO
5390,DF01,1,1,ENTREGA DOMICILIO
5391,TAM09,23,1,ENTREGA DOMICILIO
5392,CHI06,29,1,ENTREGA DOMICILIO
5393,DF01,1,1,ENTREGA DOMICILIO
5394,PUE04,18,1,ENTREGA DOMICILIO
5395,TAB02,25,1,ENTREGA DOMICILIO
5396,OA11,7,1,ENTREGA DOMICILIO
5397,EM10,2,1,ENTREGA DOMICILIO
5398,DF01,1,1,ENTREGA DOMICILIO
5399,EM07,2,1,ENTREGA DOMICILIO
5400,DF01,1,1,ENTREGA DOMICILIO
5401,DF01,1,1,ENTREGA DOMICILIO
5402,YU01,16,1,ENTREGA DOMICILIO
5403,OA07,7,1,ENTREGA DOMICILIO
5404,TLA03,31,1,ENTREGA DOMICILIO
5405,DF01,1,1,ENTREGA DOMICILIO
5406,PUE03,18,1,ENTREGA DOMICILIO
5407,SON07,15,1,ENTREGA DOMICILIO
5408,SIN01,20,1,ENTREGA DOMICILIO
5409,GTO06,12,1,ENTREGA DOMICILIO
5410,MIC01,10,1,ENTREGA DOMICILIO
5411,CHP03,6,1,ENTREGA DOMICILIO
5412,DF01,1,1,ENTREGA DOMICILIO
5413,MIC10,10,1,ENTREGA DOMICILIO
5414,EM01,2,1,ENTREGA DOMICILIO
5415,EM11,2,1,ENTREGA DOMICILIO
5416,ZAC03,32,1,ENTREGA DOMICILIO
5417,VER22,11,1,ENTREGA DOMICILIO
5418,GTO14,12,1,ENTREGA DOMICILIO
5419,CHI02,29,1,ENTREGA DOMICILIO
5420,ZAC07,32,1,ENTREGA DOMICILIO
5421,YU01,16,1,ENTREGA DOMICILIO
5422,EM10,2,1,ENTREGA DOMICILIO
5423,CHP06,6,1,ENTREGA DOMICILIO
5424,BCN03,22,1,ENTREGA DOMICILIO
5425,BCN02,22,1,ENTREGA DOMICILIO
5426,BCN02,22,1,ENTREGA DOMICILIO
5427,BCN04,22,1,ENTREGA DOMICILIO
5428,BCN04,22,1,ENTREGA DOMICILIO
5429,BCN01,22,1,ENTREGA DOMICILIO
5430,SON09,15,1,ENTREGA DOMICILIO
5431,SON02,15,1,ENTREGA DOMICILIO
5432,QTO02,14,1,EMBARQUE
5433,DF01,1,1,ENTREGA DOMICILIO
5434,TAB03,25,1,ENTREGA DOMICILIO
5435,TAM06,23,1,ENTREGA DOMICILIO
5436,CHI06,29,1,ENTREGA DOMICILIO
5437,ZAC06,32,1,EMBARQUE
5438,AGS02,28,1,ENTREGA DOMICILIO
5439,EM09,2,1,ENTREGA DOMICILIO
5440,MIC04,10,1,ENTREGA DOMICILIO
5441,TLA01,31,1,ENTREGA DOMICILIO
5442,HGO03,24,1,ENTREGA DOMICILIO
5443,BCN02,22,1,ENTREGA DOMICILIO
5444,BCN04,22,1,ENTREGA DOMICILIO
5445,BCN04,22,1,ENTREGA DOMICILIO
5446,BCN03,22,1,ENTREGA DOMICILIO
5447,SON05,15,1,ENTREGA DOMICILIO
5448,CHI06,29,1,ENTREGA DOMICILIO
5449,NL03,4,1,ENTREGA DOMICILIO
5450,COA05,27,1,ENTREGA DOMICILIO
5451,GTO06,12,1,ENTREGA DOMICILIO
5452,GTO06,12,1,EMBARQUE
5453,NL03,4,1,ENTREGA DOMICILIO
5454,JA03,3,1,ENTREGA DOMICILIO
5455,GTO06,12,1,ENTREGA DOMICILIO
5456,NL03,4,1,ENTREGA DOMICILIO
5457,GTO17,12,1,EMBARQUE
5458,TAM06,23,1,ENTREGA DOMICILIO
5459,COA03,27,1,ENTREGA DOMICILIO
5460,GR01,8,1,ENTREGA DOMICILIO
5461,GTO06,12,1,ENTREGA DOMICILIO
5462,SIN01,20,1,EMBARQUE
5463,MIC03,10,1,EMBARQUE
5464,COA01,27,1,ENTREGA DOMICILIO
5465,NL03,4,1,ENTREGA DOMICILIO
5466,COA02,27,1,ENTREGA DOMICILIO
5467,GTO01,12,1,ENTREGA DOMICILIO
5468,GTO04,12,1,EMBARQUE
5469,GTO06,12,1,ENTREGA DOMICILIO
5470,GTO06,12,1,EMBARQUE
5471,GTO04,12,1,EMBARQUE
5472,NAY03,26,1,ENTREGA DOMICILIO
5473,CO02,9,1,EMBARQUE
5474,SLP04,19,1,EMBARQUE
5475,SON04,15,1,EMBARQUE
5476,MIC20,10,1,EMBARQUE
5477,CO01,9,1,EMBARQUE
5478,MIC07,10,1,ENTREGA DOMICILIO
5479,NL01,4,1,ENTREGA DOMICILIO
5480,TAM05,23,1,EMBARQUE
5481,TAM10,23,1,ENTREGA DOMICILIO
5482,GTO16,12,1,EMBARQUE
5483,JA06,3,1,ENTREGA DOMICILIO
5484,MIC13,10,1,EMBARQUE
5485,MIC13,10,1,EMBARQUE
5486,CHP06,6,1,ENTREGA DOMICILIO
5487,SON03,15,1,EMBARQUE
5488,GTO06,12,1,EMBARQUE
5489,CHI04,29,1,ENTREGA DOMICILIO
5490,MIC22,10,1,ENTREGA DOMICILIO
5491,ZAC01,32,1,ENTREGA DOMICILIO
5492,ZAC10,32,1,ENTREGA DOMICILIO
5493,SON05,15,1,ENTREGA DOMICILIO
5494,SIN01,20,1,ENTREGA DOMICILIO
5495,SIN06,20,1,ENTREGA DOMICILIO
5496,JA08,3,1,TIENDA
5497,NAY06,26,1,ENTREGA DOMICILIO
5498,GTO03,12,1,ENTREGA DOMICILIO
5499,MIC13,10,1,EMBARQUE
5500,SLP04,19,1,ENTREGA DOMICILIO
5501,SLP04,19,1,EMBARQUE
5502,MIC10,10,1,EMBARQUE
5503,MIC14,10,1,ENTREGA DOMICILIO
5504,MIC02,10,1,ENTREGA DOMICILIO
5505,MIC22,10,1,ENTREGA DOMICILIO
5506,MIC13,10,1,EMBARQUE
5507,EM10,2,1,ENTREGA DOMICILIO
5508,DUR02,30,1,ENTREGA DOMICILIO
5509,NL03,4,1,ENTREGA DOMICILIO
5510,GTO03,12,1,EMBARQUE
5511,GTO06,12,1,ENTREGA DOMICILIO
5512,NAY06,26,1,EMBARQUE
5513,JA15,3,1,TIENDA
5514,GTO03,12,1,EMBARQUE
5515,MIC19,10,1,ENTREGA DOMICILIO
5516,MIC22,10,1,ENTREGA DOMICILIO
5517,GR02,8,1,ENTREGA DOMICILIO
5518,VER04,11,1,ENTREGA DOMICILIO
5519,GTO16,12,1,ENTREGA DOMICILIO
5520,GTO06,12,1,ENTREGA DOMICILIO
5521,BCN03,22,1,ENTREGA DOMICILIO
5522,SLP04,19,1,EMBARQUE
5523,SIN05,20,1,ENTREGA DOMICILIO
5524,GTO03,12,1,ENTREGA DOMICILIO
5525,SIN03,20,1,EMBARQUE
5526,GTO06,12,1,EMBARQUE
5527,SLP04,19,1,EMBARQUE
5528,DF01,1,1,ENTREGA DOMICILIO
5529,MIC13,10,1,ENTREGA DOMICILIO
5530,JA18,3,1,EMBARQUE
5531,NL03,4,1,ENTREGA DOMICILIO
5532,NL02,4,1,ENTREGA DOMICILIO
5533,MIC22,10,1,EMBARQUE
5534,TAM06,23,1,ENTREGA DOMICILIO
5535,SLP04,19,1,EMBARQUE
5536,ZAC10,32,1,ENTREGA DOMICILIO
5537,GR06,8,1,EMBARQUE
5538,MIC22,10,1,EMBARQUE
5539,MIC22,10,1,ENTREGA DOMICILIO
5540,JA22,3,1,EMBARQUE
5541,MIC25,10,1,ENTREGA DOMICILIO
5542,HGO01,24,1,ENTREGA DOMICILIO
5543,NL03,4,1,ENTREGA DOMICILIO
5544,SIN03,20,1,EMBARQUE
5545,SON01,15,1,ENTREGA DOMICILIO
5546,CO02,9,1,ENTREGA DOMICILIO
5547,GTO15,12,1,EMBARQUE
5548,JA02,3,1,ENTREGA DOMICILIO
5549,MIC09,10,1,ENTREGA DOMICILIO
5550,VER18,11,1,ENTREGA DOMICILIO
5551,JA04,3,1,ENTREGA DOMICILIO
5552,JA04,3,1,ENTREGA DOMICILIO
5553,TAM06,23,1,ENTREGA DOMICILIO
5554,AGS01,28,1,ENTREGA DOMICILIO
5555,JA17,3,1,ENTREGA DOMICILIO
5556,MIC09,10,1,ENTREGA DOMICILIO
5557,CHP01,6,1,ENTREGA DOMICILIO
5558,SON05,15,1,ENTREGA DOMICILIO
5559,GTO11,12,1,ENTREGA DOMICILIO
5560,JA04,3,1,ENTREGA DOMICILIO
5561,TAM06,23,1,ENTREGA DOMICILIO
5562,ZAC05,32,1,ENTREGA DOMICILIO
5563,MIC22,10,1,EMBARQUE
5564,SON05,15,1,ENTREGA DOMICILIO
5565,PUE01,18,1,ENTREGA DOMICILIO
5566,CO01,9,1,EMBARQUE
5567,JA14,3,1,ENTREGA DOMICILIO
5568,HGO05,24,1,ENTREGA DOMICILIO
5569,TLA02,31,1,ENTREGA DOMICILIO
5570,COA04,27,1,ENTREGA DOMICILIO
5571,GTO03,12,1,EMBARQUE
5572,PUE02,18,1,ENTREGA DOMICILIO
5573,VER03,11,1,ENTREGA DOMICILIO
5574,GTO07,12,1,EMBARQUE
5575,GR04,8,1,ENTREGA DOMICILIO
5576,MIC10,10,1,EMBARQUE
5577,MIC15,10,1,ENTREGA DOMICILIO
5578,JA05,3,1,ENTREGA DOMICILIO
5579,JA11,3,1,ENTREGA DOMICILIO
5580,MIC13,10,1,ENTREGA DOMICILIO
5581,MIC13,10,1,ENTREGA DOMICILIO
5582,SLP04,19,1,EMBARQUE
5583,MIC24,10,1,ENTREGA DOMICILIO
5584,NL03,4,1,ENTREGA DOMICILIO
5585,COA04,27,1,ENTREGA DOMICILIO
5586,NAY08,26,1,ENTREGA DOMICILIO
5587,NAY05,26,1,EMBARQUE
5588,QR01,5,1,ENTREGA DOMICILIO
5589,EM03,2,1,ENTREGA DOMICILIO
5590,SON03,15,1,ENTREGA DOMICILIO
5591,VER01,11,1,ENTREGA DOMICILIO
5592,MIC14,10,1,ENTREGA DOMICILIO
5593,CHP06,6,1,ENTREGA DOMICILIO
5594,CHP07,6,1,ENTREGA DOMICILIO
5595,CHP03,6,1,ENTREGA DOMICILIO
