ArticuloID,Descripcion,Articulo_Tipo,Articulo_Grupo,Articulo_Clase,Precio
213-1619R,CUARTO FRONTAL LUV 81-03 AMBAR DER ***,CUARTOS,CHEVROLET,TAIWAN,80
213-1904L1,CALAVERA ISUZU PU / LUV 83-87 CROMADA IZQ,CALAVERAS,ISUZU,TAIWAN,120
213-1904L2,CALAVERA ISUZU PU / LUV 83-87 NEGRA IZQ,CALAVERAS,ISUZU,TAIWAN,120
213-1904R1,CALAVERA ISUZU PU / LUV 83-87 CROMADA DER,CALAVERAS,ISUZU,TAIWAN,120
213-1904R2,CALAVERA ISUZU PU / LUV 83-87 NEGRA DER,CALAVERAS,ISUZU,TAIWAN,120
213-1908L1,CALAVERA ISUZU PU / LUV 88-95 CROMADA IZQ,CALAVERAS,ISUZU,TAIWAN,130
213-1908L2,CALAVERA ISUZU PU / LUV 88-95 NEGRA IZQ,CALAVERAS,ISUZU,TAIWAN,120
213-1908R1,CALAVERA ISUZU PU / LUV 88-95 CROMADA DER,CALAVERAS,ISUZU,TAIWAN,130
213-1908R2,CALAVERA ISUZU PU / LUV 88-95 NEGRA DER,CALAVERAS,ISUZU,TAIWAN,120
213-1918L,CALAVERA LUV DOBLE CAB 97-01 ROJO/BCO/AMB IZQ,CALAVERAS,CHEVROLET,TAIWAN,250
213-1918LC,CALAVERA LUV DOBLE CAB 02-03 ROJO/BCO IZQ,CALAVERAS,CHEVROLET,TAIWAN,300
213-1918R,CALAVERA LUV DOBLE CAB 97-01 ROJO/BCO/AMB DER,CALAVERAS,CHEVROLET,TAIWAN,250
213-1918RC,CALAVERA LUV DOBLE CAB 02-03 ROJO/BCO DER,CALAVERAS,CHEVROLET,TAIWAN,300
21410-F4016,RAD NISSAN PU 94-03 (D-21) STD ALUMINIO ORIGINAL,RADIADORES DE ALUMINIO,NISSAN,MEXICO,1800
21410-F4200,RAD TSURU III GS 16V / TSUBAME 94-97 SENTRA STD ALUM ORIG,RADIADORES DE ALUMINIO,NISSAN,MEXICO,1500
214-1508L1,CUARTO PUNTA MITS PU L200/RAM50 87-96 CROM BIC IZQ,CUARTOS,MITSUBISHI,TAIWAN,120
214-1508L2,CUARTO PUNTA MITS PU L200/RAM50 87-96 NEGRO BI IZQ,CUARTOS,MITSUBISHI,TAIWAN,100
214-1508R1,CUARTO PUNTA MITS PU L200/RAM50 87-96 CROM BIC DER,CUARTOS,MITSUBISHI,TAIWAN,120
214-1508R2,CUARTO PUNTA MITS PU L200/RAM50 87-96 NEGRO BI DER,CUARTOS,MITSUBISHI,TAIWAN,100
214-1914L,CALAVERA MITSUBISHI PU L200 / RAM50 79-86 IZQ,CALAVERAS,MITSUBISHI,TAIWAN,130
214-1914R,CALAVERA MITSUBISHI PU L200 / RAM50 79-86 DER,CALAVERAS,MITSUBISHI,TAIWAN,130
214-1923L1,CALAVERA MITSUBISHI PU L200 / RAM50 87-96 CROM IZQ,CALAVERAS,MITSUBISHI,TAIWAN,150
214-1923R1,CALAVERA MITSUBISHI PU L200 / RAM50 87-96 CROM DER,CALAVERAS,MITSUBISHI,TAIWAN,150
2147601G00,TOLVA RAD NISSAN PU 94-02,TOLVAS DE RADIADOR,NISSAN,TAIWAN,120
2147601G10,TOLVA RAD NISSAN PU 87-97  D-21  MOT 2.4 AMERICANA,TOLVAS DE RADIADOR,NISSAN,TAIWAN,120
2147612W00,TOLVA RAD NISSAN PU 80-84 (720) MOT 1.8 AMERICANA,TOLVAS DE RADIADOR,NISSAN,TAIWAN,120
21481-37A00,MOTOVENT TSURU 84-87 (SOLO),MOTOVENTILADORES,NISSAN,TAIWAN,650
21481-6M100,MOTOVENT SENTRA 00-03 P/RAD P/ A/A COMPLETO,MOTOVENTILADORES,NISSAN,TAIWAN,2300
21481-6M110,MOTOVENT SENTRA 00-03 P/RAD S/ A/A COMPLETO,MOTOVENTILADORES,NISSAN,TAIWAN,2200
21487-57A00,MOTOVENT TSURU 88-91 (SOLO),MOTOVENTILADORES,NISSAN,TAIWAN,700
215-1121L,FARO TSURU I SAMURAY 85-87 S/BASE S/AJUSTES IZQ,FAROS,NISSAN,TAIWAN,350
215-1121R,FARO TSURU I SAMURAY 85-87 S/BASE S/AJUSTES DER,FAROS,NISSAN,TAIWAN,350
215-1139L,FARO NISSAN PU 92-93 C/AJUSTES IZQ,FAROS,NISSAN,TAIWAN,360
215-1139R,FARO NISSAN PU 92-93 C/AJUSTES DER,FAROS,NISSAN,TAIWAN,360
215-1142L,FARO TSURU II 89-91 (PLASTICO) C/AJUSTES IZQ,FAROS,NISSAN,TAIWAN,360
