Folio,ClienteID,VendedorID,TimeID
A004711,5122,8,20140808
A004712,0119,9,20190625
A004713,5285,4,20180514
A004714,5285,4,20220515
A004715,5285,4,20221011
A004716,5285,4,20180731
A004717,NO PROPORCIONADO,NO PROPORCIONADO,20210814
A004718,5056,8,20190621
A004719,5210,8,20170325
A004720,5607,6,20150508
A004721,5641,1,20190809
A004722,5519,6,20221206
A004723,5293,8,20220118
A004724,5103,8,20210904
A004725,5709,7,20140819
A004726,5113,8,20221213
A004727,NO PROPORCIONADO,NO PROPORCIONADO,20180702
A004728,5285,4,20170510
A004729,5285,4,20161216
A004730,5285,4,20140130
A004731,5001,7,20221023
A004732,0068,3,20181025
A004733,NO PROPORCIONADO,NO PROPORCIONADO,20171108
A004734,NO PROPORCIONADO,NO PROPORCIONADO,20180718
A004735,5011,7,20140217
